open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base,taker_quote,ignore,symbol
2025-10-29 03:44:00+00:00,3998.67,3999.08,3998.14,3998.5,32.8702,2025-10-29 03:44:59.999000+00:00,131433.04701100,936,7.30690000,29216.87067800,0,ETHUSDT
2025-10-29 03:45:00+00:00,3998.51,3999.67,3998.2,3999.67,32.9521,2025-10-29 03:45:59.999000+00:00,131772.85127900,1642,22.01040000,88018.35554300,0,ETHUSDT
2025-10-29 03:46:00+00:00,3999.66,4001.7,3999.66,4001.14,94.0836,2025-10-29 03:46:59.999000+00:00,376426.57319700,1554,77.72410000,310967.11975400,0,ETHUSDT
2025-10-29 03:47:00+00:00,4001.15,4002.1,4001.14,4002.09,55.11,2025-10-29 03:47:59.999000+00:00,220513.17944900,1271,44.55950000,178294.64660300,0,ETHUSDT
2025-10-29 03:48:00+00:00,4002.09,4002.26,4000.36,4000.38,32.5848,2025-10-29 03:48:59.999000+00:00,130381.14017200,1231,7.03740000,28156.69382200,0,ETHUSDT
2025-10-29 03:49:00+00:00,4000.37,4001.15,3999.27,4000.41,66.9069,2025-10-29 03:49:59.999000+00:00,267669.99978800,1677,45.13580000,180583.34566200,0,ETHUSDT
2025-10-29 03:50:00+00:00,4000.41,4000.41,3998.66,3998.85,35.1789,2025-10-29 03:50:59.999000+00:00,140690.71567600,1850,13.30420000,53201.57133600,0,ETHUSDT
2025-10-29 03:51:00+00:00,3998.86,3998.86,3997.5,3997.51,87.8482,2025-10-29 03:51:59.999000+00:00,351227.39546300,1104,35.75240000,142944.56465400,0,ETHUSDT
2025-10-29 03:52:00+00:00,3997.51,3999.47,3997.51,3999.47,24.2468,2025-10-29 03:52:59.999000+00:00,96960.37401500,1529,16.11030000,64420.64508500,0,ETHUSDT
2025-10-29 03:53:00+00:00,3999.46,4000.71,3999.42,4000.23,62.7426,2025-10-29 03:53:59.999000+00:00,250992.40144300,1952,39.06180000,156259.87286000,0,ETHUSDT
2025-10-29 03:54:00+00:00,4000.24,4000.24,3997.66,3997.67,46.0891,2025-10-29 03:54:59.999000+00:00,184317.04536500,1582,21.20770000,84811.15583500,0,ETHUSDT
2025-10-29 03:55:00+00:00,3997.67,3998.02,3997.06,3998.02,22.3912,2025-10-29 03:55:59.999000+00:00,89504.40999500,1171,13.59550000,54344.72126200,0,ETHUSDT
2025-10-29 03:56:00+00:00,3998.02,3998.62,3997.7,3997.7,40.1323,2025-10-29 03:56:59.999000+00:00,160463.37272400,807,10.05150000,40187.03299700,0,ETHUSDT
2025-10-29 03:57:00+00:00,3997.71,3997.71,3996.2,3997.21,50.0184,2025-10-29 03:57:59.999000+00:00,199903.40560900,1342,14.00510000,55977.33454400,0,ETHUSDT
